2021-06-17 10:32:41,626 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-06-17 10:32:41,679 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-06-17 10:32:41,683 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2021-06-17 10:32:41,684 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2021-06-17 10:32:41,743 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2021-06-17 10:32:41,744 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2021-06-17 10:32:41,816 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2021-06-17 10:59:04,929 INFO  SwAddin.cs: 271 - Assembly export called for file huruta_pendulum.SLDASM
2021-06-17 10:59:06,739 INFO  SwAddin.cs: 290 - Saving assembly
2021-06-17 10:59:06,886 INFO  SwAddin.cs: 293 - Opening property manager
2021-06-17 10:59:06,913 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from huruta_pendulum.SLDASM
2021-06-17 10:59:06,923 INFO  ExportHelperExtension.cs: 1142 - Found 29 in huruta_pendulum.SLDASM
2021-06-17 10:59:06,924 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in huruta_pendulum.SLDASM
2021-06-17 10:59:06,925 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2021-06-17 10:59:06,927 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2021-06-17 10:59:06,930 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from pendulum-1
2021-06-17 10:59:06,931 INFO  ExportHelperExtension.cs: 1142 - Found 27 in pendulum-1
2021-06-17 10:59:06,932 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in pendulum-1
2021-06-17 10:59:06,933 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from base-1
2021-06-17 10:59:06,933 INFO  ExportHelperExtension.cs: 1142 - Found 26 in base-1
2021-06-17 10:59:06,936 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in base-1
2021-06-17 10:59:06,937 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from motor1-1
2021-06-17 10:59:06,956 INFO  ExportHelperExtension.cs: 1142 - Found 34 in motor1-1
2021-06-17 10:59:06,957 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in motor1-1
2021-06-17 10:59:06,958 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from huruta_pendulum.SLDASM
2021-06-17 10:59:06,958 INFO  ExportHelperExtension.cs: 1142 - Found 29 in huruta_pendulum.SLDASM
2021-06-17 10:59:06,959 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in huruta_pendulum.SLDASM
2021-06-17 10:59:06,960 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2021-06-17 10:59:06,960 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2021-06-17 10:59:06,961 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from pendulum-1
2021-06-17 10:59:06,969 INFO  ExportHelperExtension.cs: 1142 - Found 27 in pendulum-1
2021-06-17 10:59:06,973 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in pendulum-1
2021-06-17 10:59:06,974 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from base-1
2021-06-17 10:59:06,975 INFO  ExportHelperExtension.cs: 1142 - Found 26 in base-1
2021-06-17 10:59:06,976 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in base-1
2021-06-17 10:59:06,977 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from motor1-1
2021-06-17 10:59:06,977 INFO  ExportHelperExtension.cs: 1142 - Found 34 in motor1-1
2021-06-17 10:59:06,979 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in motor1-1
2021-06-17 10:59:07,330 INFO  SwAddin.cs: 316 - Loading config tree
2021-06-17 10:59:07,339 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2021-06-17 10:59:07,344 INFO  SwAddin.cs: 321 - Showing property manager
2021-06-17 10:59:11,520 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-06-17 10:59:43,308 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-06-17 11:00:40,162 INFO  ExportPropertyManager.cs: 456 - Configuration saved
2021-06-17 11:00:42,289 INFO  ExportHelperExtension.cs: 338 - Creating joint link1
2021-06-17 11:00:42,295 INFO  ExportHelperExtension.cs: 1409 - Fixing components for base_link
2021-06-17 11:00:42,296 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2021-06-17 11:00:42,296 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2021-06-17 11:00:42,455 INFO  : 0 - R1: 1, System.__ComObject, 1, System.Double[]
2021-06-17 11:00:42,491 INFO  ExportHelperExtension.cs: 844 - R2: 0, 0
2021-06-17 11:00:42,492 INFO  ExportHelperExtension.cs: 852 - L1: 0
2021-06-17 11:00:42,492 INFO  ExportHelperExtension.cs: 860 - L2: 0
2021-06-17 11:00:44,398 WARN  ExportHelperExtension.cs: 342 - Creating joint from parent base_link to child link1 failed
2021-06-17 11:00:44,403 INFO  ExportHelperExtension.cs: 338 - Creating joint pendulum
2021-06-17 11:00:44,403 INFO  ExportHelperExtension.cs: 1409 - Fixing components for link1
